Ti mɛ̀ ɓɔ̀t yɛ̂m.	Ti me bot yem.
Mı̀maŋ mi ɓodàa mi ŋâŋnā ni jɔ̀mɔ̂l.	Mimañ mi bôdaa mi ñañna ni jomol.
Mɛ̀ biɓāgla ni ɓòt ɓɛ̂m, mɛ̀ biɓāgla ɓôt ɓɛ̂m.	Me bibagla ni bôt bem, me bibagla bôt bem.
"Nu à ŋōm ɓes nı̀ ɓèe makòò isı̄ sı̂ŋ sı̀ŋ i Krı̌stò..." (2Kɔ̀r.1,21).	"Nu a ñôm bés ni béé makôô isi siñ siñ i Kristô..." (2kor.1,21).
Mɛ̀ galɔ̀ ga hâ, ni tɛhɛ.	Me galo ga ha, ni tehe.
À m̂ɓehha mɛ kwādɛ.	A mbéhha me kwade.
Mɛ̀ ŋ́wàbal kɔɔ i ɛ̄.	Me ñwabal koo i e.
À ǹlɛm halà.	A nlem hala.
Ŋɛm u mɓoo mɛ màcèl.	Ñem u mbôô me matjél.
Kop ı̀ ŋ̀kɛk ɓɔn.	Kôp i ñkek bon.
Mɛ̀ yè ŋ̀waâk.	Me yé ñwaak.
Pɔ̀hɔl ŋwı̀nd u bitòŋ ù nsòmbol sɔmb.	Pohol ñwind u bitôñ u nsômbôl somb.
Bɔ̂l ı̀ ǹsagɓɛnɛ (i lı̀en) liēn.	Bol i nsagbene (i lién) lién.
Adam ɓɔ Eva ɓa koŋōo ki cǎy di cǎy di ɛ faygè, ɓa ɓoŋōl ɓɔmɛ̀dɛ malɛ̀bɛ̀ (Bı̀ɓ 3,7b).	Adam bo Éva ba kôñôô ki tjay di tjay di e faygé, ba bôñôl bomede malebe (Bib 3,7b).
Liābâk li bijɛk lı̂ li ye lı̀ɓɛ.	Liabak li bijek li li yé libe.
À ǹnondōl mɛ mbòŋ.	A nnôndôl me mbôñ.
Màŋgɛ à m̂ɓolol hana lɛ̀n jû màm ma ŋgɛŋ inâ.	Mañge a mbôlôl hana len ju mam ma ñgeñ ina.
Màwanda ma ńyēgnà ɓe.	Mawanda ma nyégna bé.
Kı̀i ɓa ŋodōk man sı̀bɛ̀ ɓa ɓɔl sâŋ.	Kii ba ñôdôk man sibe ba bol sañ.
Ɓɔ̀ŋgɛ ɓa (ŋ)ûbha mambɔt map.	Boñge ba (ñ)ubha mambot map.
Màŋgɛ à ǹnɔl hitɔŋgi ni ndàmb.	Mañge a nnol hitoñgi ni ndamb.
Ɓòŋgo màsı̂n nyɛn à yè nyɛ ɓegel ŋŋɔ.	Bôñgô masin nyen a yé nye bégél ñño.
Hı̀òndɛ̀ hi nseā.	Hiônde hi nséa.
Inyùu ɓòt ɓa ńyèn i Yèrusàlɛ̀m, à gayı̀la kedı̄ nı̀ hyàndi (Yès 8,14).	Inyuu bôt ba nyén i Yérusalem, a gayila kédi ni hyandi (Yés 8,14).
Inyùu ɓòt ɓa ńyèn i Yèrusàlɛ̀m, à gayı̀la kedı̄ nı̀ hyàndi (Yès 8,14).	Inyuu bôt ba nyén i Yérusalem, a gayila kédi ni hyandi (Yés 8,14).
Inyùu ɓòt ɓa ńyèn i Yèrusàlɛ̀m, à gayı̀la kedı̄ nı̀ hyàndi (Yès 8,14).	Inyuu bôt ba nyén i Yérusalem, a gayila kédi ni hyandi (Yés 8,14).
Hùndùl à ǹtagɓɛ̀.	Hundul a ntagbe.
Haana à tà ɓe liɓɔŋɔ̂k lı̀lam.	Haana a ta bé liboñok lilam.
Ǹlom ɓūk; ǹlom nu ǹtoŋ u biɓuk.	Nlôm buk; nlôm nu ntôñ u bibuk.
Nunu mùt à mpèmbaha kiŋ.	Nunu mut a mpémbaha kiñ.
Dı̀yàna cɔ̄ŋ di nhōla ɓe mɛ tɔ̀ jàm.	Diyana tjoñ di nhôla bé me to jam.
Ɓa ntem m̂ɓògsi unu nı̀ mɔ̀ɔ.	Ba ntém mbôgsi unu ni moo.
À ǹjɛ ɓɔŋā kōy.	A nje boña kôy.
Lı̀wanda li ŋɛm nyuu.	Liwanda li ñem nyuu.
Bı̀ɓedel bi ması̂n (ndı̀ò) bi ye hàà i ŋgı̀ı̀.	Bibédél bi masin (ndiô) bi yé haa i ñgii.
Mɛ̀ ǹsɔmb biɓɔ̀gɔ̀l bi nyagà.	Me nsomb bibogol bi nyaga.
Ŋgwɔ ı̀ ǹla soya.	Ñgwo i nla sôya.
Koŋha yɔm .	Kôñha yom .
Ŋ̀udu sǔglù à nlògɓa kɔ̂n.	Ñudu suglu a nlôgba kon.
Kinjɛ̄ tòmdɛtòmdɛ̀ nû!	Kinje tômdetômde nu!
jàm li nsuk mɛ̂	jam li nsuk me
Ɓa ɓe ɓenà ti liɓı̀ı̀ liɓaà inyùu lı̀hòl ŋgɔ̀nd ɓàŋga mùt, ndi hɛ̀ɛ mùt à yè los nı̀ ŋ̀gwàŋ à ntı̄ ɓe yûnd likı̀l jee.	Ba bé béna ti libii libaa inyuu lihôl ñgond bañga mut, ndi hee mut a yé lôs ni ñgwañ a nti bé yund likil jéé.
Wı̀p wap wɔn u biyègha mɛ bı̀tòŋ; dı̀ biyègha ŋwɔm ŋwes.	Wip wap won u biyégha me bitôñ; di biyégha ñwom ñwés.
Pulnɛ mɛ̀ i nyùŋga.	Pulne me i nyuñga.
Màtam ma bɛɛ ma nseēs ŋkɔ̀kɔ̂n.	Matam ma bee ma nséés ñkokon.
Jɔ̀t li ntubı̂, li waa njôghɛ̀.	Jot li ntubi, li waa njôghe.
À ntààyɛ kı̀i kɔ̄ɔ.	A ntaaye kii koo.
Ŋgolı̂ yèe ı̀ yè kɔ̀ɔ̀ nugā.	Ñgôli yéé i yé koo nuga.
À ǹsɔ̂hbɛnɛ mɛ̂.	A nsohbene me.
