Ojer kanoq, aretaq chiʼ ri ix, man iwetaʼm ta uwach ri Dyos, ri ix, ix kʼo chuxeʼ ri kikowinem ri qastzij che ma edyos taj;	Ojer kan>oq, aretaq chiʼ ri ix, man iw>etaʼm ta u>wach ri Dyos, ri ix, ix kʼo ch>u>xeʼ ri ki>kowinem ri qastzij ch>e ma e>dyos taj;
Chi awij kʼo jun siwan.	Chi aw>ij kʼo jun siwan.
Xoqujeʼ nakʼut, ri uj uj jeriʼ arechiʼ che uj akʼalabʼ, uj kʼo chuxeʼ ri ukowinem ri jastaq che rech we uwachulew.	Xoqujeʼ nakʼut, ri uj uj jeriʼ arechiʼ ch>e uj akʼal>abʼ, uj kʼo ch>u>xeʼ ri u>kowinem ri jastaq ch>e rech we uwachulew.
Aretaq chiʼ majaʼ kixkojon ri ix, iwetaʼm che ri ix sibʼalaj xixbʼe chkiwach ri ejoʼs taq dyos che man kechʼaw taj.	Aretaq chiʼ majaʼ k>ix>kojon ri ix, iw>etaʼm ch>e ri ix sibʼalaj x>ix>bʼe ch>ki>wach ri e>joʼs taq dyos ch>e man k>e>chʼaw taj.
Xinwilo chi xatwaʼik	X>inw>il>o chi x>at>waʼ>ik
Bolivia	Bolivia
Ri tzijobʼäl Mopan jun chi kech ri mayabʼ tzijobʼäl.	Ri tzijobʼäl M>opan jun chi k>ech ri mayabʼ tzijobʼäl.
kʼatekʼuriʼ, ri ix, ix rech ri Kristo, e ri Kristo rech ri Dyos.	kʼatekʼuriʼ, ri ix, ix rech ri Kristo, e ri Kristo rech ri Dyos.
kok che qʼatbʼaltzij).	k>ok ch>e qʼatbʼaltzij).
E aretaq chiʼ xel uloq ri qʼij, xkʼat ri taq utux e xchaqiʼjarik rumal rech che man kʼo ta ri urabʼ.	E aretaq chiʼ x>el uloq ri qʼij, x>kʼat ri taq u>tux e x>chaqiʼjar>ik r>umal rech ch>e man kʼo ta ri u>rabʼ.
Xsachon kan uyaʼik le pwaq ch.e	X>sachon kan u>yaʼ>ik le pwaq ch.e
akʼalabʼ xuqujeʼ le unajil le tijonik yaʼtal rumal we kʼaxkʼolil.	akʼal>abʼ xuqujeʼ le u>najil le tijonik yaʼtal r>umal we kʼaxkʼolil.
Noʼjim upachʼuxik le nuwiʼ	Noʼjim u>pachʼu>x>ik le nu>wiʼ
Xinbʼe che loqʼoj.	X>in>bʼe ch>e loqʼoj.
Jeʼ nakʼut Nutat, jeʼ kʼuwaʼ ri kawaj.	Jeʼ nakʼut Nu>tat, jeʼ kʼuwaʼ ri k>awaj.
Tekʼuriʼ ekʼo kebʼ achijabʼ ketzijon rukʼ, eʼare ri Moʼises e ri Eliʼas;	Tekʼuriʼ ekʼo kebʼ achij>abʼ k>e>tzijon r>ukʼ, eʼare ri Moʼises e ri Eliʼas;
tobʼanelabʼ ri keʼpe jelaʼ Europa; e kʼi na ri tobʼanelabʼ ri kʼi	tobʼanel>abʼ ri k>eʼ>pe jelaʼ Europa; e kʼi na ri tobʼanel>abʼ ri kʼi
Xoqujeʼ, ri bʼaqilal, man kʼo ta xaq jun utzʼaqatil, xane kʼi ri utzʼaqatil kʼolik.	Xoqujeʼ, ri bʼaqilal, man kʼo ta xaq jun u>tzʼaqatil, xane kʼi ri u>tzʼaqatil kʼol>ik.
Maj jachin xʼek	Maj jachin x>ʼe>k
xoqujeʼ, konojel ri eʼachalaxik che ekʼo wukʼ ri in, chkech ri Ekomon Tyox rech ri Galasiʼa.	xoqujeʼ, k>onojel ri eʼ>achalaxik ch>e ekʼo w>ukʼ ri in, ch>k>ech ri E>komon Tyox rech ri Galasiʼa.
wi ri unoʼj.	wi ri u>noʼj.
Kaqʼan pa ri jun jukubʼ, kqʼax chʼaqap, kʼatekʼuriʼ kpe pa ri utinimit.	K>aqʼan pa ri jun jukubʼ, k>qʼax chʼaqap, kʼatekʼuriʼ k>pe pa ri u>tinimit.
Na xintaqchiʼj ta le wachajil kachakunik	Na x>in>taqchiʼ>j ta le w>achajil ka>chakun>ik
Pero noʼjimal petnaq loq,	Pero noʼjimal pet>naq loq,
arech ri ix, rukʼ junam iwanimaʼ e junam rukʼ ichiʼ nim kiwil wi ri Dyos, ri Utatxel ri Qajawxel Jesus Kristo.	arech ri ix, r>ukʼ junam iw>animaʼ e junam r>ukʼ i>chiʼ nim ki>wil wi ri Dyos, ri U>tatxel ri Q>ajawxel Jesus Kristo.
Ri eʼareʼ man kʼo ta kalkʼuwaʼl, rumal che menchoʼr ri Xper, xoqujeʼ chi ekebʼ eriʼj taq winaq chik.	Ri eʼareʼ man kʼo ta k>alkʼuwaʼl, r>umal ch>e menchoʼr ri Xper, xoqujeʼ chi e>kebʼ e>riʼj taq winaq chik.
Aretaq chiʼ okʼowinaq chi ri kebʼ qʼij riʼ, kel ubʼik, kbʼe ubʼi pa ri Galileʼa.	Aretaq chiʼ okʼowinaq chi ri kebʼ qʼij riʼ, k>el ubʼik, k>bʼe u>bʼi pa ri Galileʼa.
arech ronojel ri kkojon chrech ri areʼ kkʼojiʼ jun junalik ukʼaslemal rumal ri areʼ.	arech r>onojel ri k>kojon ch>r>ech ri areʼ k>kʼojiʼ jun junalik u>kʼaslemal r>umal ri areʼ.
KʼO KICHOQʼABʼ	KʼO KI>CHOQʼABʼ
pa ri utzij qʼatbʼaltzij.	pa ri u>tzij qʼatbʼaltzij. 
E kʼo jobʼ umiʼal, ri nutat.	E kʼo jobʼ u>miʼal, ri nu>tat.
Jun ujunabʼ ri akʼal.	Jun u>junabʼ ri akʼal.
chi ma pa ri kʼisbʼal ta kʼo wi wa Iximulew chi ma e kʼi ta ri winaq	chi ma pa ri kʼisbʼal ta kʼo wi wa Iximulew chi ma e kʼi ta ri winaq
Xoqujeʼ ri eʼareʼ che xewar ubʼi rukʼ ri Kristo, xesach na kʼuriʼ.	Xoqujeʼ ri eʼareʼ ch>e x>e>war u>bʼi r>ukʼ ri Kristo, x>e>sach na kʼuriʼ.
Kʼi tinamit e kʼo pa chʼoʼj.	Kʼi tinamit e kʼo pa chʼoʼj.
Ri al Ixchel, kuchomaj chi ri unan,	Ri al Ixchel, k>u>choma>j chi ri u>nan,
Ri jun achi kbʼe che ubʼixik chkech ri eʼajjudiʼo, che are ri Jesus xkunan ri areʼ.	Ri jun achi k>bʼe ch>e u>bʼixik ch>k>ech ri eʼ>ajjudiʼo, ch>e are ri Jesus x>kunan ri areʼ.
Ri jun che kʼo ri Kʼojolxel rukʼ, kkʼojiʼ ri kʼaslemal rukʼ; ri jun che man kʼo ta ri Kʼojolxel rukʼ man kʼo ta riʼ ri kʼaslemal rukʼ.	Ri jun ch>e kʼo ri Kʼojolxel r>ukʼ, k>kʼojiʼ ri kʼaslemal r>ukʼ; ri jun ch>e man kʼo ta ri Kʼojolxel r>ukʼ man kʼo ta riʼ ri kʼaslemal r>ukʼ.
Kojbʼinik	K>oj>bʼin>ik
Kawaj kinʼek	Ka>w>a>j k>in>ʼe>k
Xinbʼij chi kinʼek	X>in>bʼi>j chi k>in>ʼe>k
Rumal rech, jachin kok pa ri ruxlanem, xoqujeʼ kuxlan riʼ che taq ri uchak, jeriʼ jacha ri Dyos che xuxlan chech taq ri uchak.	R>umal rech, jachin k>ok pa ri r>uxlanem, xoqujeʼ k>uxlan riʼ ch>e taq ri u>chak, jeriʼ jacha ri Dyos ch>e x>uxlan ch>ech taq ri u>chak.
Kʼatekʼut, aretaq chiʼ ri in kinkʼastaj na, kinbʼe na in nabʼe chiwach pa ri Galileʼa».	Kʼatekʼut, aretaq chiʼ ri in k>in>kʼastaj na, k>in>bʼe na in nabʼe ch>i>wach pa ri Galileʼa».
ri kʼo wakamik.	ri kʼo wakamik.
Are ri ixoq xinsikʼin uloq	Are ri ixoq x>in>sikʼi>n uloq
¡Chkanaj ta bʼaʼ iwukʼ ri utoqʼobʼ ri Qajawxel Jesus Kristo!	¡Ch>kanaj ta bʼaʼ iw>ukʼ ri u>toqʼobʼ ri Q>ajawxel Jesus Kristo!
Ri jun che kchʼoʼjin rukʼ ri kowinem, xoqujeʼ kchʼoʼjin rukʼ ri Dyos. Kʼatekʼuriʼ, ri jachintaq man keniman ta chkech ri eʼareʼ, kʼo riʼ ri qʼatojtzij pakiwiʼ.	Ri jun ch>e k>chʼoʼjin r>ukʼ ri kowinem, xoqujeʼ k>chʼoʼjin r>ukʼ ri Dyos. Kʼatekʼuriʼ, ri jachintaq man k>e>niman ta ch>k>ech ri eʼareʼ, kʼo riʼ ri qʼatojtzij pa>ki>wiʼ.
pa ri areʼ, xoqujeʼ ri ix, ix kʼo pa ri ja, arech ri ix ix jun rachoch ri Dyos pa ri Uxlabʼxel.	pa ri areʼ, xoqujeʼ ri ix, ix kʼo pa ri ja, arech ri ix ix jun r>achoch ri Dyos pa ri Uxlabʼxel.
¡Man jeriʼ ta kʼut! Ri Kristo xkʼastaj uwach chkixoʼl ri ekaminaqibʼ, are nabʼe chkixoʼl ri xewarik.	¡Man jeriʼ ta kʼut! Ri Kristo x>kʼastaj u>wach ch>ki>xoʼl ri e>kaminaq>ibʼ, are nabʼe ch>ki>xoʼl ri x>e>war>ik.
